Book Title,Price
A Light in the Attic,RS51.77
Tipping the Velvet,Rs53.74
Soumission,Rs50.10
Sharp Objects,Rs47.82
Sapiens: A Brief History of Humankind,Rs54.23
The Requiem Red,Rs22.65
The Dirty Little Secrets of Getting Your Dream Job,Rs33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60
The Black Maria,Rs52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",Rs13.99
Shakespeare's Sonnets,Rs20.66
Set Me Free,Rs17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Rs52.29
Rip it Up and Start Again,Rs35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25
Olio,Rs23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,Rs37.59
Libertarianism for Beginners,Rs51.33
It's Only the Himalayas,RS45.17
